PuzzleId,FEN,Moves,Rating,Themes
001om,"5r1k/pp4pp/5p2/1BbQp1r1/6K1/7P/1PP3P1/3R3R w - - 2 26","g4h4 c5f2 g2g3 f2g3",1018,"mate mateIn2 middlegame morphysMate short"
006GK,"2kr1br1/ppBb1ppp/8/3P2Q1/3n2n1/5N2/PP3qPP/RN2R2K b - - 0 16","d4f3 g5d8",1020,"mate mateIn1 oneMove opening queensideAttack"
009bR,"4r2k/3q2r1/1p4pQ/p1pP4/2P4P/1N4p1/PP3RK1/8 b - - 1 37","g7h7 f2f8 e8f8 h6f8",1024,"endgame mate mateIn2 short"
00Bn0,"r1bqkb1r/pp1pnppp/2n1p3/1N6/5B2/8/PPP1PPPP/R2QKBNR b KQkq - 4 6","e6e5 b5d6",1029,"mate mateIn1 oneMove opening smotheredMate"
001w5,"1rb2rk1/q5P1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 b - - 0 29","f8f7 c2h7 g8h7 g7g8q",1034,"advancedPawn attraction mate mateIn2 middlegame promotion short"
00FH6,"r6r/1q2bpk1/7p/p1p1pPpn/Pp2P1nP/1P1B1N2/2P3P1/2BRR1QK w - - 7 30","c1b2 h5g3",1042,"mate mateIn1 middlegame oneMove"
00BJm,"r2q1rk1/1Q2bppp/p1N1p3/1p6/2pP1n2/2P5/PP3PPP/R4RK1 b - - 1 18","d8d5 c6e7 g8h8 e7d5",1052,"advantage fork hangingPiece middlegame short"
00Gt0,"R7/4k3/5p2/3p2p1/4b2p/2K1P2P/5PP1/8 w - - 2 47","f2f3 d5d4 c3d4 e4a8",1052,"crushing discoveredAttack endgame master short"
008Y3,"r5k1/1p1rqpp1/p3pnp1/2PN4/8/1Q5P/PP3PP1/3RR1K1 b - - 0 24","e7c5 d5f6 g7f6 d1d7",1055,"advantage discoveredAttack kingsideAttack master middlegame short"
003jH,"rn3rk1/p5pp/3N4/4np1q/5Q2/1P3K2/PB1P2P1/2R4R w - - 0 25","f3f2 e5d3 f2e3 d3f4 h1h5 f4h5",1058,"crushing fork long middlegame"
00Evs,"5qk1/pQ3pp1/7p/b2N1b2/P3r3/5K2/7P/R4B2 b - - 1 24","g7g5 d5f6 g8h8 f6e4",1059,"advantage fork middlegame short"
00DWo,"b4b1r/3k1ppp/p2p4/1p2p3/3nq3/N1P1B3/PP3PPP/R2Q1RK1 w - - 1 16","c3d4 e4g2",1060,"kingsideAttack mate mateIn1 middlegame oneMove"
003YF,"r4rk1/1pp2ppp/p2p4/2bPp3/2P1Pn1q/P1N2B2/1P3P2/R1BQK1R1 w Q - 1 15","c1f4 h4f2",1061,"attackingF2F7 mate mateIn1 middlegame oneMove"
0009B,"r2qr1k1/b1p2ppp/pp4n1/P1P1p3/4P1n1/B2P2Pb/3NBP1P/RN1QR1K1 b - - 1 16","b6c5 e2g4 h3g4 d1g4",1066,"advantage middlegame short"
00DBg,"rn2kbnr/pp6/2p2p2/4P3/4P1pq/2N3N1/PPPB2B1/R2Q1RK1 w kq - 1 17","g1f2 f8c5 d2e3 c5e3 f2e3 h4g3",1067,"advantage attraction exposedKing long middlegame"
001wr,"r4rk1/p3ppbp/Pp1q1np1/3PpbB1/2B5/2N5/1PPQ1PPP/3RR1K1 w - - 4 18","f2f3 d6c5 g1h1 c5c4",1068,"advantage fork master masterVsMaster middlegame short"
001wb,"r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17","h2g3 g6h5",1071,"mate mateIn1 middlegame oneMove"
00JaW,"8/r7/Pk5p/3R2p1/4p1P1/4P3/3K4/8 b - - 0 48","a7a6 d5d6 b6a5 d6a6 a5a6 d2c3 a6b7 c3d4",1080,"crushing endgame exposedKing rookEndgame veryLong"
00LNB,"kr6/1pR4p/p4R2/n2r4/P3p3/4B3/6PP/6K1 b - - 0 38","d5d3 f6a6 b7a6 c7a7",1081,"endgame mate mateIn2 operaMate sacrifice short"
009uB,"3br2r/5k1p/4p1pQ/P5P1/1B5P/P6q/5R2/6K1 b - - 1 35","f7g8 f2f8 e8f8 h6f8",1089,"mate mateIn2 middlegame short"
007hv,"6k1/5p1p/1p4p1/p1bN1p2/2Pq1P2/1P5P/1P1Q2P1/7K w - - 1 32","d2c3 d4g1",1090,"endgame master mate mateIn1 oneMove"
00AoZ,"8/1R6/p1pk4/6bp/1QP5/P7/KP6/3r2q1 b - - 2 44","g1c5 b7d7 d6d7 b4c5",1090,"advantage deflection endgame short"
00DEc,"8/p5pk/1p3b1p/3r3P/6P1/3nBN2/P4PK1/4R3 w - - 3 30","e1d1 d3f4 e3f4 d5d1",1091,"crushing discoveredAttack endgame short"
009Wc,"1r3rk1/1pq2pbp/p1p1pnp1/2N1N3/3P4/1QP5/PP3PPP/3RR1K1 w - - 2 19","e5d7 f6d7 c5d7 c7d7",1092,"crushing middlegame short"
003IM,"8/5kp1/p3pb2/8/6Pp/1P4qP/P2RQ3/7K w - - 2 34","e2g2 g3e1 g2g1 e1d2",1096,"crushing deflection endgame master short"
00Go6,"2k5/1pp2pp1/p3p1p1/3pP2r/Q7/2P1N1P1/PP3nP1/2KR3r b - - 6 20","f2d1 a4e8",1098,"endgame mate mateIn1 oneMove"
003r5,"r2qr1k1/ppp2ppp/4b3/3P4/1nP2Q2/2N2N1P/PP3KP1/R4R2 w - - 1 15","d5e6 b4d3 f2g1 d3f4",1107,"crushing fork middlegame short"
000rO,"3R4/8/K7/pB2b3/1p6/1P2k3/3p4/8 w - - 4 58","a6a5 e5c7 a5b4 c7d8",1110,"crushing endgame fork master short"
002bK,"8/7p/2b1k3/p2p1pPB/1n1P3P/N1p1P3/4K3/8 b - - 1 42","c6b5 a3b5 c3c2 e2d2",1113,"advantage endgame hangingPiece short"
00LG5,"6k1/5r1p/4b1pQ/5q2/3B3P/2P5/6P1/4R1K1 w - - 7 36","e1e2 f5f1 g1h2 f1e2",1113,"advantage endgame fork short"
002HE,"1qr2rk1/1p1p1ppp/pB2p1n1/7n/2P1P3/1Q2NP1P/PP2B1Pb/3R1RK1 w - - 1 20","g1f2 b8g3",1116,"master mate mateIn1 middlegame oneMove"
001Wz,"4r1k1/5ppp/r1p5/p1n1RP2/8/2P2N1P/2P3P1/3R2K1 b - - 0 21","e8e5 d1d8 e5e8 d8e8",1118,"backRankMate endgame mate mateIn2 short"
005nD,"3rk2r/2qn1pp1/p1Q1R3/3n3p/8/8/PP4PP/5R1K b k - 0 23","f7e6 c6e6 d5e7 e6f7",1119,"fork mate mateIn2 middlegame short"
007tv,"r3k1nr/1pp2ppp/1pnp2q1/4p1B1/2B1P3/3P1Q1P/PPP2PP1/R4RK1 b kq - 0 11","g6g5 f3f7 e8d8 f7f8 d8d7 f8a8",1119,"advantage attackingF2F7 long middlegame skewer"
00Ahb,"1k4nr/pp1r1ppp/4p3/1Nb2q2/2Pp4/6P1/PP3P1P/R1BQR1K1 b - - 2 14","g8h6 c1f4 f5f4 g3f4",1123,"crushing middlegame short"
0071K,"3N1r2/6R1/kp6/p2pPp1Q/2pP2P1/2q5/2P5/2K5 w - - 0 38","g7a7 a6a7 h5h7 a7a6",1125,"crushing defensiveMove endgame hangingPiece short"
00Hxb,"1rbr1k2/p4ppp/2B5/2pR1NP1/2P5/P7/7P/4R1K1 b - - 0 27","d8d5 e1e8",1125,"endgame mate mateIn1 oneMove operaMate"
00Bm8,"8/6kp/4b1q1/1p6/1PpPp2Q/2P1P3/r2N2P1/5RK1 w - - 7 34","d2e4 g6g2",1126,"endgame master mate mateIn1 oneMove"
0039T,"1r5r/p3kp2/4p2p/4P3/3R1Pp1/6P1/P1P4P/4K2R w K - 1 25","d4a4 b8b1 e1f2 b1h1 a4a7 e7f8",1127,"crushing defensiveMove endgame long rookEndgame skewer"
00AB1,"8/7Q/3p1kp1/1p6/2b5/2P4P/5PPK/4q3 b - - 8 36","e1c3 h7h8 f6e6 h8c3",1128,"crushing endgame short skewer"
001xl,"8/4R1k1/p5pp/3B4/5q2/8/5P1P/6K1 b - - 5 40","g7f6 e7f7 f6e5 f7f4",1131,"advantage endgame master masterVsMaster short skewer superGM"
0050w,"5rk1/1p2p1rp/p2p4/2pPb2R/2P1P3/1P1BKP1R/8/8 b - - 4 30","g7g3 h3g3 e5g3 h5g5 g8f7 g5g3",1131,"crushing endgame fork long"
0088O,"7Q/2p5/1p2prp1/p4k1p/P4p1P/8/6RK/3q4 b - - 2 37","d1a4 g2g5 f5e4 h8f6",1133,"crushing deflection endgame short"
0048h,"4r3/p5k1/2p2R1p/2Pp4/1P1pr1P1/P6P/8/3R3K w - - 1 35","f6c6 e4e1 d1e1 e8e1 h1g2 d4d3",1134,"crushing endgame exposedKing long rookEndgame"
00L76,"5rk1/5pp1/4p3/7R/2P5/2n2N2/5r2/2K4R b - - 2 37","g7g6 h5h8 g8g7 h1h7 g7f6 h8f8",1138,"crushing deflection endgame long"
00J1Y,"1q3r2/p5k1/1p2pbpp/2p2p2/2P1N3/2P2PQP/PP3P2/6RK b - - 2 29","f5e4 g3g6 g7h8 g6h6",1141,"deflection endgame mate mateIn2 short"
00L84,"6k1/5pp1/7p/2p5/2P5/2rp2PP/PR3P2/5K2 w - - 0 37","b2b3 c3c1 f1g2 d3d2",1141,"advancedPawn crushing endgame master rookEndgame short"
007QU,"2rq1rk1/1b3p1p/p3p3/1p1pB1p1/2nP2N1/1RP1PP2/P1Q3PP/3R2K1 b - - 1 22","f7f5 g4h6",1143,"mate mateIn1 middlegame oneMove"
009oc,"5Q2/pbp3np/1p1pB1pk/1P6/P3q2P/6K1/8/8 b - - 1 32","e4e6 f8f4 g6g5 f4g5",1144,"endgame mate mateIn2 short"
00Af3,"8/8/2B2p1p/P4Pp1/3p1kP1/1b1Pb2P/8/4K3 b - - 0 50","f4g3 a5a6 b3c4 a6a7",1144,"advancedPawn bishopEndgame crushing endgame short"
009f8,"8/1p4p1/pb2ppkp/3n4/3P4/P3BN1P/1P2KPP1/8 b - - 0 26","g6f5 f3h4 f5e4 f2f3",1149,"endgame mate mateIn2 short"
00Gvr,"8/1b3pp1/1k4Pp/4K2P/4PP2/8/8/8 b - - 0 46","f7f6 e5e6 b7e4 e6f7",1149,"advantage bishopEndgame defensiveMove endgame master short"
001wR,"6nr/pp3p1p/k1p5/8/1QN5/2P1P3/4KPqP/8 b - - 5 26","b7b5 b4a5 a6b7 c4d6 b7b8 a5d8",1152,"endgame long mate mateIn3"
004X6,"1r4k1/p4ppp/2Q5/3pq3/8/P6P/2PR1PP1/Rr4K1 w - - 1 26","a1b1 b8b1 d2d1 b1d1",1152,"endgame mate mateIn2 short"
00GuD,"1n5k/4r1p1/p2q1rPp/1ppB4/8/3P4/PPP1RPQ1/2K4R b - - 4 25","e7e2 h1h6 g7h6 g6g7 h8h7 g7g8q",1152,"advancedPawn kingsideAttack long mate mateIn3 middlegame promotion sacrifice"
003eP,"8/r1b1q2k/2p3p1/2Pp4/1P2p1n1/2B1P3/NQ6/2K4R b - - 1 36","h7g8 h1h8 g8f7 h8h7 f7e8 h7e7",1156,"crushing exposedKing long middlegame skewer"
006HV,"1r6/5k2/2p1pNp1/p5Pp/1pQ1P2P/2P4R/KP3P2/3q4 w - - 4 31","c4c6 b4b3 a2a3 d1a1",1159,"endgame mate mateIn2 short"
009IO,"3rk3/5p1r/p2Np1p1/3bP3/P2n4/8/1P3RPP/5RK1 b - - 4 25","e8e7 f2f7 h7f7 f1f7",1162,"hookMate mate mateIn2 middlegame short"
