PuzzleId,FEN,Moves,Rating,Themes
000Pw,"6k1/5p1p/4p3/4q3/3nN3/2Q3P1/PP3P1P/6K1 w - - 2 37","e4d2 d4e2 g1f1 e2c3",1547,"crushing endgame fork short"
00BM8,"r4rk1/pp2bppp/2ppnn2/8/N1P1P3/q1P4P/P2N2PB/R2Q1R1K b - - 0 16","a8d8 d2b1 a3a4 d1a4",1547,"advantage master middlegame short trappedPiece"
00EXS,"r3r1k1/p2Q1p1p/1p2p1p1/8/1P1P4/P3P3/1B2Nb1q/2KR1R2 w - - 0 19","f1h1 f2e3 c1b1 h2e2",1548,"advantage discoveredAttack middlegame short"
00GVf,"2b2k2/6q1/pn4p1/1rp2p2/8/8/1P2Q1P1/1K2R2R b - - 3 32","c8d7 h1h8 g7h8 e2e7 f8g8 e7d8",1548,"crushing exposedKing long middlegame sacrifice"
00HZC,"4r1k1/pp1qn3/2p4R/6p1/3P1rR1/3Q2P1/PP3P1P/6K1 b - - 0 31","f4g4 d3h7 g8f8 h6f6",1548,"endgame mate mateIn2 short"
00J1t,"r1qr3k/pp3pB1/1np1pb2/8/3P3P/2N2PR1/PP1Q2P1/2KR4 b - - 0 22","f6g7 d2g5 d8g8 g5h5 g7h6 h5h6",1554,"exposedKing kingsideAttack long mate mateIn3 middlegame"
002uV,"r2r2k1/1p2qppp/2n1p3/5n2/p2P4/P2Q1N2/BP3PPP/2R1R1K1 w - - 4 20","d3f5 e6f5 e1e7 c6e7",1558,"advantage middlegame short"
0000D,"5rk1/1p3ppp/pq3b2/8/8/1P1Q1N2/P4PPP/3R2K1 w - - 2 27","d3d6 f8d8 d6d8 f6d8",1559,"advantage endgame short"
002Tf,"r3kbnr/ppp1qppp/2n5/3pP3/5B2/4PQ2/PPP2PPP/RN2KB1R w KQkq - 1 7","f1b5 e7b4 b1c3 b4b2",1561,"advantage fork opening short"
00Ivf,"8/2p4r/1p3k2/p2Pp1p1/P1P1RpP1/1P3P1r/4R1K1/8 w - - 7 46","e4e5 h3h2 g2f1 h2h1 f1f2 h7h2",1563,"endgame long mate mateIn3 rookEndgame"
000Vc,"8/8/4k1p1/2KpP2p/5PP1/8/8/8 w - - 0 53","g4h5 g6h5 f4f5 e6e5 f5f6 e5f6",1569,"crushing endgame long pawnEndgame"
00HzX,"4r1k1/5pp1/2R4p/1p6/8/1PP3QP/2q2PP1/6K1 w - - 0 29","c6h6 c2c1 g1h2 c1h6",1572,"crushing endgame fork short"
00DkJ,"3r1bnr/2p2ppp/2b5/R1k5/5P2/2N5/4N1PP/1R4K1 b - - 3 21","c5d6 b1d1 d6e7 a5e5 e7f6 d1d8",1575,"crushing deflection exposedKing long middlegame"
001cr,"8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38","c5c4 d7e8",1582,"bishopEndgame endgame mate mateIn1 oneMove"
00FAe,"5Rbk/6pp/8/p3P3/Pp1pq3/8/1P4PP/3Q2K1 w - - 1 35","d1b3 e4e1 f8f1 e1f1 g1f1 g8b3",1590,"crushing endgame long"
00LNH,"1k2r3/pp2r2p/2pqbpp1/3n4/2BP1p2/5N1P/PPQB1PP1/1K1RR3 w - - 2 22","c4b3 e6f5 c2f5 g6f5",1590,"advantage middlegame pin short"
00Kia,"5r1k/4n1pp/1p6/pP5Q/P2pB2K/6P1/2P4P/4q3 b - - 4 37","g7g6 h5e5 h8g8 e4d5 e7d5 e5e1",1591,"advantage discoveredAttack endgame fork long"
00Gc5,"8/p1r2p2/4r3/2P1PK2/1P1R4/3R2pk/8/8 w - - 2 46","d4g4 e6e5 f5e5 h3g4",1600,"advantage deflection endgame rookEndgame short"
007AS,"r3kb1r/3nnpp1/4p1bp/1NppP3/3P4/6N1/P2BBPPP/R3K2R b KQkq - 0 17","a8b8 b5d6 e8d8 d2a5",1601,"crushing master middlegame short"
00ME0,"8/1p6/p1b5/5k1p/1PB1p2P/P3P1K1/8/8 b - - 2 35","f5e5 c4f7 c6d7 f7h5",1605,"bishopEndgame crushing endgame short"
00P6s,"Qn3rk1/p1p3pp/1p2Pb2/8/3q4/5P2/PPP4P/R3KBNR w KQ - 0 14","a8e4 f6h4 e1e2 d4f2",1605,"advantage middlegame short"
00SU7,"2rqr1k1/B2b1ppp/5n2/8/3Q4/3B4/P1P2PPP/R3R1K1 w - - 3 22","d4h4 e8e1 a1e1 d8a5 e1a1 a5a7",1606,"advantage fork long middlegame"
004d8,"8/4kr2/R2p4/1p1Pp1p1/5p2/3K1P2/PPP5/8 b - - 0 39","g5g4 a6a7 e7f6 a7f7 f6f7 f3g4",1608,"crushing endgame long rookEndgame"
006E1,"5rk1/R4pp1/1p5p/3Q4/1PPp2q1/3P2P1/5P2/4nK2 w - - 0 34","f1e1 f8e8 e1f1 g4h3 d5g2 e8e1 f1e1 h3g2",1608,"crushing deflection endgame veryLong"
0017R,"r2qk2r/pp2ppbp/1n1p2p1/3Pn3/2P5/2NBBP1P/PP3P2/R2QK2R b KQkq - 0 12","e5c4 d3c4 b6c4 d1a4 d8d7 a4c4",1610,"advantage fork long middlegame"
004Ud,"r1bqk2r/p3Bppp/3p4/1ppn4/4P3/4Q3/PPP2PPP/2KR1B1R b kq - 0 11","d5e7 f1b5 c8d7 d1d6 d7b5 d6d8",1612,"advantage interference long middlegame"
00EDN,"rnbq1rk1/p4ppp/1p2p3/2p5/2QPn3/2P1PN2/P3BPPP/R1B2RK1 w - - 0 11","c1a3 c8a6 c4a6 b8a6",1612,"advantage middlegame short"
002KJ,"r3kb1r/ppq2ppp/4pn2/2Ppn3/1P4bP/2P2N2/P3BPP1/RNBQ1RK1 b kq - 2 10","f8e7 f3e5 c7e5 e2g4",1615,"crushing discoveredAttack middlegame short"
00Lt1,"r4k2/pp3p2/2pNR2p/5Qp1/1P3n2/3P4/P1PK1qPP/8 w - - 6 31","d2c3 f4d5 c3b3 f2f5 d6f5 f7e6",1616,"advantage discoveredAttack endgame long"
00O9Z,"5QR1/5p1p/1b3qp1/p6k/P2P4/8/1P2rPPP/5RK1 w - - 7 32","g8h8 f6f2 f1f2 e2e1 f2f1 b6d4 g1h1 e1f1",1616,"backRankMate deflection endgame fork master mate mateIn4 pin sacrifice veryLong"
00RbX,"3r2k1/2q1bppp/b3n3/p2N4/2p1P3/P3QN2/1PP2PPP/4R1K1 b - - 1 22","e7c5 d5c7 c5e3 c7e6 e3f2 g1f2",1616,"advantage long middlegame"
004BW,"r1bk2r1/ppq2pQp/3bpn2/1BpnN3/5P2/1P6/PBPP2PP/RN2K2R w KQ - 3 13","e5f7 d8e7 g7g8 f6g8",1617,"advantage master middlegame short"
009zR,"3r4/p1p2ppp/4k3/6Q1/5P2/4P3/Prqn2PP/3R1RK1 w - - 3 22","g5d8 d2f3 g1h1 c2g2",1620,"discoveredAttack endgame mate mateIn2 short"
002Hv,"8/8/8/3N2p1/5b2/3p3P/5kP1/3K4 w - - 16 56","d5f4 g5f4 h3h4 f2g2 h4h5 f4f3 d1d2 f3f2",1621,"advancedPawn crushing endgame veryLong"
00Cqg,"2rr2k1/pp4bp/4qpp1/3Pp3/8/4Q2P/4B1P1/2RR3K b - - 0 26","c8c1 d5e6 d8d1 e2d1 c1d1 h1h2",1621,"advantage defensiveMove hangingPiece long middlegame"
00IDz,"8/8/2p2P2/K2b3p/7N/P1k5/8/8 w - - 0 63","f6f7 d5f7 a5b6 f7d5 b6c5 c3b3",1621,"crushing endgame long master quietMove"
000Sa,"2Q2bk1/5p1p/p5p1/2p3P1/2r1B3/7P/qPQ2P2/2K4R b - - 0 32","c4c2 e4c2 a2a1 c2b1",1622,"advantage endgame short"
00UB0,"1r2n3/p1p3bk/Pp1p2pp/1PqP1p2/5P2/1Q1P1N2/6BP/5R1K b - - 0 29","e8f6 d3d4 c5d5 f3g5",1626,"crushing middlegame short"
00IbM,"6k1/5rp1/p2B3p/P1Pp4/1P6/2q1P2P/4Q1P1/6K1 w - - 0 34","e2a6 c3e1 g1h2 f7f1 a6f1 e1f1",1629,"advantage endgame long quietMove"
00DII,"2rr2k1/p5p1/1p5p/2pP1p1P/2q5/P4QR1/5PP1/4R1K1 b - - 3 31","c4d5 e1e8 g8f7 f3d5 d8d5 e8c8",1638,"advantage endgame intermezzo long"
00JzT,"8/7p/6pK/5p2/4p3/1k4P1/5P1P/8 w - - 2 44","h6h7 g6g5 g3g4 f5f4",1638,"crushing defensiveMove endgame pawnEndgame quietMove short"
00Al5,"2r3k1/p2q1pbp/1p2pnp1/nB1p4/3P4/1Pr1P2P/P1QB1PP1/2R2RK1 w - - 0 19","b5d7 c3c2 d7c8 c2d2",1640,"advantage middlegame short"
00Bg0,"8/3k4/3P1K2/p2R4/5r2/5P2/8/8 w - - 1 57","d5f5 f4f5 f6f5 a5a4 f5e4 a4a3 e4d3 a3a2",1641,"advancedPawn crushing endgame quietMove rookEndgame veryLong"
00B7G,"1rb2r1k/4q2p/p2p4/3B1p2/1pPb4/1P2NQ2/P5PP/2R2RK1 w - - 1 24","g1h1 e7e3 f3e3 d4e3",1643,"crushing master masterVsMaster middlegame short"
002Ua,"r4rk1/pp3ppp/3p1q2/P1P1p3/2B5/2B2n2/2P2P1P/R2Q1RK1 w - - 0 16","g1h1 f6f4 d1f3 f4f3",1646,"crushing kingsideAttack middlegame short"
00GYk,"1r4k1/p3p1bp/1n3qp1/6B1/6Q1/1P4pP/P5B1/3R3K b - - 0 29","f6e5 g5f4 e5f4 g4f4",1647,"crushing master middlegame short"
00F5e,"4k2r/1p2b1p1/p1q1Rp2/2p4p/8/1Q4B1/PP3PpP/6K1 b k - 1 22","c6d7 g3d6 d7d6 e6d6",1652,"advantage endgame short"
00IUW,"8/Q1p1r1kp/5pp1/3P3r/4P3/2N2bPq/PPP2R1P/5RK1 w - - 3 23","a7e3 h3g3 h2g3 h5h1",1653,"clearance kingsideAttack mate mateIn2 middlegame operaMate sacrifice short"
00LO6,"2r3k1/3q1pp1/1rp5/2Rn2Np/1p1N3n/1Q2P3/5PP1/2R3K1 w - - 0 33","c5d5 c6d5 c1c8 d7c8",1655,"advantage middlegame short"
00UOA,"6k1/5p1p/4pbp1/p2p4/2rP1P2/P3B1P1/1P2R1KP/8 b - - 0 30","f6d4 b2b3 c4c2 e2c2",1657,"advantage endgame short"
00IHi,"8/4R3/1k6/8/p7/1p1N2P1/5KP1/r7 w - - 0 55","e7e1 a1e1 f2e1 a4a3 e1d2 a3a2 d2c3 a2a1q",1659,"advancedPawn crushing endgame promotion veryLong"
007ku,"r1bq3Q/1np2kp1/p5B1/1p1Pp3/1Pn2BP1/2b2P2/P3K3/R4N2 b - - 5 35","f7g6 h8h5 g6f6 f4g5",1663,"mate mateIn2 middlegame short"
00EEp,"3k2q1/pb1p3p/1p1P4/2p5/2P2Q1K/8/P7/5R2 b - - 2 36","b7g2 f4f8 g8f8 f1f8",1665,"endgame mate mateIn2 short"
00PvX,"8/n7/P7/3k4/PK6/7P/5PP1/8 w - - 0 53","b4a5 d5c5 f2f3 a7c6",1670,"endgame knightEndgame mate mateIn2 short"
00AuR,"8/4bkp1/R6P/4p3/Pp2P3/1P1rB3/6P1/6K1 b - - 0 33","d3e3 h6h7 e3e1 g1h2",1675,"advancedPawn crushing endgame short"
002Uy,"8/8/1p6/k7/P1R5/1K5r/8/8 w - - 26 64","c4c3 h3c3 b3c3 a5a4 c3b2 a4b4",1682,"crushing defensiveMove endgame long rookEndgame"
00HGG,"8/pp6/2p1kpp1/3p4/3P1PPp/1P3K2/P1P4P/8 w - - 0 31","g4g5 f6g5 f3g4 g5f4 g4f4 e6f6",1682,"crushing defensiveMove endgame long pawnEndgame"
00QqI,"r6r/pQ2nkpp/4b3/2p1q3/4p3/2N5/PP1B1PPP/R4RK1 w - - 1 15","c3e4 e6d5 e4g5 e5g5 d2g5 d5b7",1683,"advantage long middlegame"
00QQS,"2r3k1/1p1q1ppp/4p3/Q7/3P4/P1B5/1Pr2PPP/R5K1 b - - 0 22","d7d4 c3d4 c2c1 a5e1",1685,"advantage endgame hangingPiece short"
001XA,"1qr2rk1/pb2bppp/8/8/2p1N3/P1Bn2P1/2Q2PBP/1R3RK1 b - - 3 23","b8c7 b1b7 c7b7 e4f6 e7f6 g2b7",1687,"crushing discoveredAttack long master middlegame sacrifice"
00Nte,"r4k2/8/2p3Bb/4p1n1/3q4/PQ6/2K2P2/1N4R1 w - - 3 30","g1g5 d4f2 b1d2 h6g5 b3f3 f2f3",1689,"advantage intermezzo long middlegame"
00Q8H,"8/5b2/3k3p/6p1/3P1pP1/2N2K1P/8/8 w - - 6 48","h3h4 f7d5 f3f2 g5h4",1689,"crushing endgame short"
00OQt,"8/8/8/p3b3/P1B2pKp/1Pk1p2P/6P1/8 w - - 8 50","g4h4 c3d2 h4g4 e3e2 c4e2 d2e2",1690,"advancedPawn bishopEndgame crushing endgame long"
00CcK,"8/8/3p4/4kp2/1pP3pP/1RbK2P1/8/8 w - - 2 42","b3c3 b4c3 d3c3 f5f4 c3d3 f4g3",1691,"crushing endgame long"
00734,"rn3bk1/2rqp2p/2p3p1/3p1p2/3P1P1B/pP1BP3/P1Q2PRP/1KR5 b - - 0 26","b8a6 d3f5 e7e6 f5g6",1692,"crushing middlegame pin short"
003IX,"8/3pk3/R7/1R2Pp1p/2PPnKr1/8/8/8 w - - 4 43","f4f5 e4g3",1693,"endgame mate mateIn1 oneMove"
00DUp,"8/8/1p2k1p1/7p/P2KPp1P/5P2/8/8 w - - 8 66","e4e5 g6g5 d4e4 g5h4",1693,"crushing endgame pawnEndgame short"
00DdW,"5rk1/4bppp/4b3/1p1pPpPP/2pP4/2P5/rqNQKP2/2RRN3 b - - 5 23","e7a3 c1b1 b2b3 b1b3",1693,"advantage middlegame short trappedPiece"
00Qlc,"8/5R2/P7/2p1r3/2Pp2k1/3K4/5p2/8 b - - 1 54","e5f5 f7f5 g4f5 d3e2 f2f1q e2f1",1694,"crushing endgame long rookEndgame"
00Bex,"1rb1qrk1/6bp/2np4/2pNpp2/2P5/3P1B2/1B3PPP/1R1QR1K1 b - - 0 22","c8e6 d5c7 e8f7 c7e6",1695,"crushing middlegame short"
00LSv,"3r3k/1p4pp/2p3q1/8/3Q4/8/PP4rP/R4R1K b - - 1 28","g2g1 d4g1 g6e4 g1g2",1695,"advantage endgame short"
00TRo,"5q1k/2r3p1/1p2p2b/3p2NQ/3P4/1p6/5R2/6K1 b - - 1 38","f8b4 h5e8 b4f8 f2f8",1695,"endgame mate mateIn2 short"
00NpT,"r4rk1/1ppq2p1/p3Rp1p/3P4/2P2Q2/3B3P/PP4PK/8 b - - 1 25","a8e8 f4f5 e8e6 f5h7",1699,"crushing endgame sacrifice short"
003if,"8/3q1kpp/1P2p3/4Q3/5P2/4B2P/2r3PK/8 b - - 0 43","d7b7 e5h5 f7e7 e3c5 c2c5 h5c5",1700,"advantage endgame long"
005gP,"8/8/3p4/2kP4/1p4P1/2pK4/P7/8 w - - 1 42","g4g5 c5d5 g5g6 d5e6 g6g7 e6f7 a2a4 b4a3 g7g8r f7g8",1705,"crushing enPassant endgame pawnEndgame veryLong"
00IMS,"1r4k1/r5q1/p2p1pP1/4pP2/2p1P2Q/2PbnBK1/P6R/2R5 b - - 7 35","e3f5 e4f5 d3f5 f3d5",1706,"clearance crushing kingsideAttack middlegame short"
00UF4,"rnbQ1b1r/pp2n2p/2p2k2/1q2p1p1/3P4/5N2/P1P2PPP/R1B1K2R b KQ - 0 13","f8g7 c1g5 f6f7 d8e7",1706,"crushing middlegame short"
00MwU,"3r1b1R/ppq3p1/2k3P1/3p4/1P1Q4/4PP2/P1P5/2K5 b - - 0 26","a7a6 h8f8 d8f8 d4c5 c6d7 c5f8",1709,"advantage attraction endgame fork long sacrifice"
004Ao,"4qk2/1b3rR1/p7/1p2Q3/4P2P/P2P3K/2r5/3R4 w - - 5 41","g7f7 e8f7 e5h8 f8e7",1711,"advantage endgame short"
009FS,"r2qr1k1/p5bp/1pp1b1p1/8/2QN1p2/2P1n2P/PP3PP1/R1B1RNK1 w - - 1 18","d4e6 e3c4 e6d8 e8e1",1715,"crushing discoveredAttack opening short"
00IiM,"r5k1/pp4p1/1n6/3pB3/3P2pb/2NQ1r2/PP6/2K3R1 w - - 2 24","d3f3 g4f3 g1g7 g8f8",1719,"advantage middlegame short"
00IF7,"b3k2r/4bpp1/2q1p2p/1p1nP3/1Pp1N3/2P5/2B2PPP/2BQR1K1 w k - 0 19","c1e3 d5c3 d1g4 c3e4",1726,"crushing middlegame short"
00TV2,"6k1/p1Q2p1p/4p1p1/3p4/1r6/7P/Pq3PP1/5RK1 b - - 2 26","b2a2 c7c8 g8g7 c8c3 d5d4 c3b4",1729,"advantage endgame fork long master"
00AEM,"r4rk1/p2q1p1p/1p3Qp1/2p4P/3p4/5R2/PPP2PP1/4R1K1 b - - 0 22","d7d8 e1e7 d8e7 f6e7",1733,"crushing endgame short"
00AcQ,"8/1bpp2k1/1p5r/1P2P3/3P1P2/2P1n1K1/2Q3P1/8 w - - 0 30","c2a2 h6g6 g3f2 g6g2",1735,"crushing endgame short"
00TXF,"3R4/6pk/4rp1p/p1N1P3/1p3P2/1Pb4P/6P1/6K1 b - - 1 33","e6c6 e5e6 c6e6 c5e6",1736,"crushing endgame short"
006pe,"r4r2/2q1NN2/4bQpk/2n4p/pp5P/8/1PP2PP1/2KR3R b - - 0 28","e6f7 e7f5 h6h7 f6g7",1741,"master mate mateIn2 middlegame pin short"
00Nqd,"8/p7/5P2/PP1bp3/4N3/K2p4/2k5/8 b - - 0 48","d3d2 e4d2 c2d2 b5b6 a7b6 a5b6",1747,"crushing endgame long sacrifice"
004RF,"5rk1/5ppp/1p6/1qp2P1Q/3p3P/6R1/6PK/8 b - - 0 30","c5c4 g3g7 g8g7 f5f6 g7f6 h5b5",1750,"attraction crushing discoveredAttack endgame long sacrifice"
00Ar2,"r2q1r2/1n4pk/p6p/1pp2pb1/3n1B2/P1NPN2P/1PPQ1PP1/R3R1K1 w - - 0 21","c3d5 g5f4 d5f4 d8g5 d2d1 g5f4",1759,"advantage clearance long middlegame"
00AVR,"br1qkb1r/p1pp1ppp/4Pn2/6B1/3Qn3/5NP1/P3PPBP/RN1R2K1 b k - 0 15","d7e6 d4a4 d8d7 d1d7",1761,"crushing opening short"
00JYV,"r2q1rk1/p1p1bppp/2pp1nb1/4p3/4P1PN/2NP3P/PPP2PK1/R1BQ1R2 b - - 4 11","f6e4 h4g6 e4c3 g6e7 d8e7 b2c3",1761,"advantage kingsideAttack long opening"
0047P,"8/1N3k2/6p1/8/2P3P1/pr6/R5K1/8 w - - 1 56","g2f1 b3b1 f1e2 b1b2 e2d1 b2a2",1766,"crushing endgame exposedKing fork long master"
00Hpe,"1rr3k1/4Qppp/qp2p3/P2pn3/3N4/4P2P/5PP1/RR4K1 b - - 3 29","b6a5 b1b8 c8b8 e7c7 b8c8 c7e5",1768,"advantage fork long middlegame"
006i7,"r4rk1/3nqpp1/2p1bn1p/3pN3/1p1P4/2NQP2P/1PB2PP1/R4RK1 w - - 0 18","e5c6 e7d6 a1a8 f8a8 c6b4 d6b4",1769,"advantage long middlegame"
00EgR,"N2k3r/1b1n1Bpp/p7/1pb1P3/6P1/4p3/PPP4P/1K1R3R w - - 1 20","e5e6 b7h1 d1d7 d8c8 d7c7 c8b8",1770,"advantage long middlegame"
00LMb,"8/8/1n4kP/1P3p2/3P1K2/2p1N3/8/8 w - - 4 49","f4e5 b6c4 e3c4 c3c2",1777,"advancedPawn crushing endgame knightEndgame sacrifice short"
001h8,"2r3k1/2r4p/4p1p1/1p1q1pP1/p1bP1P1Q/P6R/5B2/2R3K1 b - - 5 34","c4e2 h4h7 c7h7 c1c8 g8g7 c8c7",1780,"crushing deflection kingsideAttack long middlegame sacrifice"
00Huv,"3r2q1/5prk/p3pQpp/1p2P3/2p4R/2P2P1P/PPB2P2/6K1 b - - 2 29","g8f8 h4h6 h7g8 f6h4",1781,"clearance crushing endgame short"
00Lhb,"2n4k/p3b2p/Pp6/1PpPp3/2B1PpP1/1P6/5BK1/8 b - - 0 33","c8d6 f2c5 b6c5 b5b6 a7b6 a6a7",1783,"advancedPawn advantage endgame long master masterVsMaster sacrifice"
005f3,"r5k1/2p1pp2/pp4p1/1q1r4/5P2/2QP2R1/PP6/1K4R1 b - - 0 32","d5h5 g3g6 f7g6 g1g6 g8f7 c3g7 f7e8 g7g8 e8d7 g8e6 d7d8 g6g8",1787,"crushing endgame sacrifice veryLong"
005HG,"r2q1rk1/p1p2pp1/3bbn1p/4N3/2Q5/1P4P1/PB1PPP1P/RN2K2R w KQ - 1 12","c4c2 d6e5 b2e5 d8d5 f2f3 d5e5",1788,"advantage clearance fork long opening"
00NHK,"r1b2rk1/1p2b1p1/pqn1p1P1/3pP3/1P1P4/P1N1P3/6P1/R2QK2R b KQ - 0 17","c6e5 h1h8 g8h8 d1h5 h8g8 h5h7",1790,"attraction fork long mate mateIn3 middlegame sacrifice"
00HqY,"8/6p1/8/6k1/4P3/5KpP/8/8 b - - 3 46","g5h4 f3g2 h4g5 g2g3",1793,"crushing endgame master pawnEndgame short zugzwang"
002rd,"r6k/q1pb1p1p/1b3Pr1/p1ppP2Q/3P2p1/4B3/PP2NRPP/3R2K1 b - - 1 25","d7e6 e2f4 c5d4 f4g6 f7g6 h5h6",1795,"crushing kingsideAttack long middlegame pin"
007en,"rn3rk1/4pp1p/3p2pB/2q4P/3bP1b1/Pp2Q3/1P2B3/1K1R2NR w - - 0 20","e3d4 c5c2 b1a1 a8a3 b2a3 c2a2",1795,"long mate mateIn3 middlegame queensideAttack sacrifice"
00143,"r2q1rk1/5ppp/1np5/p1b5/2p1B3/P7/1P3PPP/R1BQ1RK1 b - - 1 17","d8f6 d1h5 h7h6 h5c5",1798,"advantage middlegame short"
00Nay,"r2q1r2/ppp2pk1/3p1n2/4p1p1/2B1P3/2NP2Q1/PPP5/2K4R b - - 0 19","g7g6 g3h3 f8h8 h3f5 g6g7 f5g5",1798,"crushing deflection long middlegame quietMove"
0095W,"8/pp1r2kp/q2P1ppb/4p3/2N1P3/1Q5P/PPR2PP1/6K1 w - - 3 32","c4e5 f6e5 c2c7 a6d6",1800,"advantage endgame hangingPiece short"
00TJN,"r3r1k1/pp3pB1/2q3pp/3R1b2/8/P4Q2/BP3PPP/1R4K1 b - - 0 23","f5b1 f3f7 g8f7 d5d7",1801,"attraction doubleCheck kingsideAttack mate mateIn2 middlegame sacrifice short"
00D77,"5rk1/bpp3pp/p1npb3/4p3/1P2Nr1q/P1PP3P/1B1QBPR1/2K3R1 b - - 2 21","h4h3 g2g7 g8h8 e4g5",1811,"crushing kingsideAttack middlegame short"
003wQ,"2r2rk1/6pp/3Q1q2/8/3N1B2/6P1/PP1K3P/R4b2 w - - 0 24","a1f1 f6d6 f4d6 f8f1",1814,"advantage discoveredAttack middlegame pin short"
00CBU,"8/2pR2kp/pb4p1/8/5p1P/B6K/P1r5/6r1 b - - 3 39","g7h6 a3f8 h6h5 d7h7",1814,"deflection endgame mate mateIn2 short"
00G1l,"5k2/1R6/3pp1P1/2p5/1pr1PK2/5P2/8/8 b - - 0 60","c4c1 f4g5 c1g1 g5f6",1815,"crushing defensiveMove endgame master rookEndgame short"
00Msq,"r5k1/1pp2Bp1/5n1p/1q2N3/3P4/7P/5PP1/4Q1K1 b - - 2 30","g8f8 f7c4 b5c4 e5c4",1820,"crushing endgame master short"
00NKk,"2r2rk1/pp4q1/4Q3/3p4/3P4/P1P5/1P3PPP/4R1K1 b - - 0 25","g8h8 e1e3 c8c7 e3h3",1821,"advantage endgame quietMove short"
00NVe,"2B4k/p1p3pb/8/5pnr/8/2P2R2/PPP2K2/6R1 w - - 6 34","c8f5 g5f3 f5g4 f3g1",1821,"advantage endgame short"
00L1Y,"3rkb1r/pp2pbpp/2p5/q7/3Q1B2/2P3P1/PP2PP1P/RN2K2R w KQk - 0 15","d4b4 a5d5 e1g1 e7e5 b4b7 e5f4",1825,"advantage long middlegame"
00ON5,"8/k1p5/P7/3N4/3P2pp/3K2n1/6P1/8 w - - 1 47","d3e3 h4h3 e3f2 h3h2 f2g3 h2h1q",1825,"advancedPawn crushing endgame knightEndgame long promotion"
00FND,"8/1P6/8/7p/3P4/3k1p1P/4p3/3K4 w - - 0 49","d1e1 d3e3 h3h4 f3f2",1828,"advancedPawn endgame mate mateIn2 pawnEndgame short"
00UTH,"3r3r/q4pk1/p4N2/1p2PQp1/P4n2/3p1P1P/1P4P1/3RR1K1 w - - 0 32","g1h2 h8h3 f5h3 f4h3",1830,"crushing middlegame short"
00Rue,"r2qkb1r/pp1nppp1/2p2n1p/3p1b2/3P4/BP2PN2/P1P2PPP/RN1QKB1R w KQkq - 2 7","c2c4 f5b1 a1b1 d8a5 b3b4 a5a3",1832,"advantage fork long opening"
00FPo,"7R/1K3p2/6k1/PP4p1/8/6rp/8/8 b - - 2 47","g5g4 a5a6 h3h2 h8h2",1834,"crushing endgame rookEndgame short"
00Se9,"5rk1/pp1n2r1/3p2N1/2pQ4/2P5/4P1P1/qP2KPP1/7R b - - 1 24","g7f7 g6e7 g8g7 d5g5",1835,"mate mateIn2 middlegame pin short"
00Nua,"8/1p1k2r1/p1p5/2P1R3/1P1pP3/P2r4/5RPK/8 w - - 1 31","a3a4 g7h7 h2g1 d3d1 f2f1 h7h1 g1h1 d1f1",1841,endgame
001xO,"k1r1b3/p1r1nppp/1p1qpn2/2Np4/1P1P4/PQRBPN2/5PPP/2R3K1 w - - 0 19","d3a6 b6c5 a6c8 c5c4",1847,"crushing master masterVsMaster middlegame sacrifice short"
006fF,"r1b4r/pp1k2pp/2nb2q1/1B1p2B1/3p3Q/8/PPP2PPP/3RR1K1 b - - 5 17","h7h6 h4g4 d7c7 g5d8 h8d8 g4g6",1851,"advantage discoveredAttack exposedKing long middlegame"
00GiQ,"5r2/1p3p1k/6pp/p1qp1P2/7Q/5N2/6PP/5N1K b - - 4 31","b7b5 f3g5 h7g7 f5f6 g7f6 g5e4",1851,"attraction crushing discoveredCheck doubleCheck endgame long pin"
00Ksa,"8/5p2/5pk1/8/4PP2/6r1/5K2/7R b - - 2 46","g3g4 f2f3 g4g5 f4g5",1852,"crushing endgame rookEndgame short trappedPiece"
00LoE,"2k5/1p4p1/p4b2/3p4/3P4/2PQN3/PP3q2/1K6 w - - 0 37","e3d5 f2g1 b1c2 g1g2",1858,"crushing endgame short"
00IDw,"4r3/pN3kpp/2N1b3/2R5/5b2/P7/1P3PPP/7K w - - 1 30","g2g3 e6h3 c5c1 f4c1",1862,"advantage endgame quietMove short"
00MQl,"r1b2k1r/pp3ppp/2p5/2bp4/3N1Pnq/1B2B3/PPP3PP/RN1QR2K w - - 4 15","d4f3 c5e3 f3h4 g4f2 h1g1 f2d1",1868,"advantage discoveredAttack fork long opening sacrifice"
00MZC,"5r1k/p5p1/1pb4p/3pR3/1Q6/P1P4P/1P3qP1/R5K1 w - - 0 24","g1h1 d5d4 e5e2 c6g2",1872,"advantage discoveredAttack endgame short"
00Knu,"r2q1rk1/p3bpp1/2pp1nb1/4p1Q1/8/1B3N1P/PPP3P1/R1B2RK1 b - - 0 18","f6e4 g5g6 d8b6 g1h2",1873,"advantage defensiveMove opening pin short"
00NEO,"4qr2/pR1b2pk/5p1p/4pPP1/3bB3/3P3Q/P1r4P/4BR1K b - - 0 24","d7c6 h3h6 h7g8 h6g7",1874,"mate mateIn2 middlegame pin short"
001uD,"6k1/1p3pp1/1p5p/2r1p3/2n5/r3PN2/2RnNPPP/2R3K1 b - - 1 32","f7f6 f3d2 c4d2 c2d2 c5c1 e2c1",1877,"advantage long middlegame"
